isin,wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown
LU0641006290,DBX0LY,XGSG,13528820,Xtrackers II Global Government Bond UCITS ETF 2D GBP Hedged,2011-08-24,4927,13.498630136986302,Long-only,Luxembourg,GBP,True,True,Distributing,0.25,Sampling,586,False,1161,0.03,-0.21,2.24,0.91,2.04,6.27,-4.92,-7.75,5.93,7.4,-18.73,4.29,2.58,2.67,5.9,8.25,8.22,1.06,-0.2,-0.19,-23.63,-4.67,-19.58,-20.16
IE000XFXBGR0,A40EWV,CSY8,135747035,UBS ETF (IE) MSCI USA Small Cap ESG Leaders UCITS ETF (USA) A-acc,2024-08-26,176,0.4821917808219178,Long-only,Ireland,USD,False,False,Accumulating,0.2,Full replication,585,True,708,1.89,-1.75,-2.29,0.36,,,,,,,,,,,,,,,,,-8.46,,,
LU0292107645,DBX1EM,XMEM,3067289,Xtrackers MSCI Emerging Markets Swap UCITS ETF 1C,2007-06-22,6451,17.673972602739727,Long-only,Luxembourg,USD,False,False,Accumulating,0.49,Swap based Unfunded,584,False,,4.54,0.64,4.06,5.74,9.19,17.04,6.1,17.04,14.12,5.67,-15.37,5.11,,,13.33,14.6,16.9,1.27,0.14,0.19,-60.16,-10.43,-20.52,-31.16
CH0454664043,A2UBKC,21XP,45466404,21Shares Ripple XRP ETP,2019-06-21,2069,5.668493150684932,Long-only,Switzerland,USD,False,False,Accumulating,2.5,Physically backed,582,False,,25.5,6.32,-19.82,203.12,386.04,368.16,229.06,749.39,237.39,76.04,-58.04,295.41,,,110.76,90.17,111.62,3.31,0.54,0.48,-81.16,-40.23,-64.86,-81.16
LU1953136527,A2PHCA,EMEC,47567417,BNP Paribas Easy ECPI Circular Economy Leaders UCITS ETF EUR,2019-04-24,2127,5.8273972602739725,Long-only,Luxembourg,EUR,False,False,Accumulating,0.3,Full replication,575,True,50,5.89,2.66,3.38,5.02,9.92,12.34,36.42,76.18,11.59,19.34,-12.26,35.85,,,11.46,12.91,16.39,1.07,0.84,0.73,-30.45,-9.47,-14.63,-30.45
IE00B5SG8Z57,A1C22H,H4ZH,11747744,HSBC MSCI Pacific ex Japan UCITS ETF USD,2010-09-03,5282,14.471232876712328,Long-only,Ireland,USD,False,True,Distributing,0.15,Full replication,573,False,103,5.51,0.96,3.55,3.47,13.53,18.35,19.47,26.79,11.3,2.54,-0.2,13.25,3.66,4.16,12.57,14.06,17.47,1.46,0.43,0.28,-37.54,-8.26,-15.94,-37.29
IE00BGYWCB81,A2PCCJ,VAGG,45828041,Vanguard USD Emerging Markets Government Bond UCITS ETF Accumulating,2019-02-19,2191,6.002739726027397,Long-only,Ireland,USD,False,False,Accumulating,0.25,Sampling,569,False,1153,1.02,-1.0,-0.02,3.04,8.12,12.86,14.06,6.33,13.08,5.85,-9.9,6.5,,,6.7,8.66,8.9,1.91,0.52,0.14,-17.09,-1.77,-8.44,-17.09
LU1681040900,A2H59C,FRNU,38785041,Amundi Floating Rate USD Corporate ESG UCITS ETF USD (C),2015-04-30,3582,9.813698630136987,Long-only,Luxembourg,USD,False,True,Accumulating,0.18,Sampling,568,True,266,-0.13,-1.38,-1.27,2.4,8.01,9.02,25.29,20.5,13.19,2.82,7.41,8.4,,,6.48,8.1,7.57,1.39,0.96,0.5,-14.64,-3.32,-11.05,-11.81
IE0002EI5AG0,DBX0P9,XDEE,114399815,Xtrackers S&P 500 Equal Weight UCITS ETF 2C EUR Hedged,2021-11-03,1203,3.2958904109589042,Long-only,Ireland,EUR,True,True,Accumulating,0.3,Full replication,561,False,503,3.68,0.39,0.58,0.68,5.89,12.65,13.02,,10.08,10.0,-15.13,,,,12.99,18.79,,0.97,0.22,,-23.33,-8.06,-21.82,
IE00BMX0B631,A2P741,VDTE,56312229,Vanguard USD Treasury Bond UCITS ETF EUR Hedged Accumulating,2020-08-31,1632,4.471232876712329,Long-only,Ireland,EUR,True,False,Accumulating,0.12,Sampling,559,False,216,1.14,0.16,0.89,1.02,-1.82,1.81,-10.66,,-1.49,1.55,-15.01,-2.96,,,7.76,10.62,,0.23,-0.35,,-22.83,-5.9,-17.18,
IE000U7L59A3,A3CR2Z,CBUC,112207317,iShares MSCI USA ESG Enhanced UCITS ETF EUR Hedged (Acc),2021-06-25,1334,3.654794520547945,Long-only,Ireland,EUR,True,False,Accumulating,0.1,Full replication,559,True,532,3.56,0.95,1.43,4.07,9.4,19.85,28.26,,21.18,22.01,-24.55,,,,14.15,19.76,,1.4,0.44,,-29.5,-8.38,-25.48,
LU0136234068,794357,UIM1,1272980,UBS ETF (LU) EURO STOXX 50 UCITS ETF (EUR) A-dis,2001-10-29,8513,23.323287671232876,Long-only,Luxembourg,EUR,False,True,Distributing,0.09,Full replication,558,False,50,13.17,3.26,7.53,15.78,14.92,19.42,46.91,64.29,11.51,22.74,-9.08,23.95,2.61,3.03,13.47,16.99,20.58,1.44,0.8,0.51,-58.66,-9.71,-18.24,-38.23
IE00BYTRRB94,A2AE58,SPFS,30782222,SPDR MSCI World Health Care UCITS ETF,2016-04-29,3217,8.813698630136987,Long-only,Ireland,USD,False,True,Accumulating,0.3,Full replication,557,False,135,4.36,-2.12,2.05,3.52,-2.18,3.83,23.57,42.31,7.45,0.02,0.29,29.55,,,11.71,13.67,16.41,0.33,0.53,0.45,-26.73,-9.07,-13.44,-26.73
IE00BFXR5W90,A2N4PT,ETLK,44803616,L&G Asia Pacific ex Japan Equity UCITS ETF,2018-10-08,2325,6.36986301369863,Long-only,Ireland,USD,False,False,Accumulating,0.1,Full replication,557,True,141,5.81,1.19,3.88,4.04,14.23,18.49,18.28,25.57,10.54,1.57,0.17,11.68,,,12.71,14.06,17.21,1.45,0.41,0.27,-36.97,-8.35,-15.73,-36.8
IE0008UEVOE0,A3EHAK,IVOA,127362353,iShares iBonds Dec 2028 Term EUR Corporate UCITS ETF EUR (Acc),2023-09-05,532,1.4575342465753425,Long-only,Ireland,EUR,False,False,Accumulating,0.12,Sampling,557,True,351,0.55,0.0,0.92,0.92,2.81,5.98,,,4.2,,,,,,2.77,,,2.15,,,-1.33,-1.09,,
LU1169819635,A14MET,EMUCHF,26748326,UBS ETF (LU)  MSCI EMU UCITS ETF (hedged to CHF) A-acc,2020-06-17,1707,4.676712328767123,Long-only,Luxembourg,CHF,True,True,Accumulating,0.15,Full replication,556,False,221,10.2,2.67,9.17,11.19,14.93,17.0,42.68,,6.32,23.71,-8.01,27.27,,,10.96,15.27,,1.55,0.82,,-19.52,-5.76,-13.74,
IE00BGDQ0L74,A2N8FS,IPRE,44630984,iShares European Property Yield UCITS ETF EUR (Acc),2018-12-12,2260,6.191780821917808,Long-only,Ireland,EUR,False,True,Accumulating,0.4,Full replication,556,False,50,3.17,-1.73,2.94,1.56,1.34,12.62,-19.47,-29.68,0.0,18.23,-37.63,8.14,,,17.28,24.18,23.97,0.73,-0.29,-0.28,-50.31,-14.2,-43.58,-50.31
IE00BD1F4N50,A2AP36,QDVA,33587597,iShares Edge MSCI USA Momentum Factor UCITS ETF,2016-10-13,3050,8.356164383561644,Long-only,Ireland,USD,False,True,Accumulating,0.2,Optimized sampling,555,False,125,9.03,-0.26,3.69,10.67,22.13,31.94,59.77,78.82,40.3,5.21,-12.65,21.84,,,19.99,20.28,24.64,1.59,0.83,0.5,-33.64,-14.75,-19.66,-33.64
LU2089238898,A2PWMP,PRAR,51515476,Amundi Prime Euro Govies UCITS ETF DR (C),2020-01-15,1861,5.098630136986301,Long-only,Luxembourg,EUR,False,False,Accumulating,0.05,Sampling,554,False,401,0.39,-0.28,1.12,0.5,1.41,3.93,-7.56,-11.69,1.7,6.73,-18.11,-3.45,,,4.71,7.14,6.22,0.83,-0.36,-0.39,-22.34,-3.51,-18.32,-22.34
IE0004J6PFL7,A3DUX0,GLUH,121779451,iShares Core UK Gilts UCITS ETF USD Hedged (Dist),2022-10-05,867,2.3753424657534246,Long-only,Ireland,USD,True,True,Distributing,0.09,Sampling,553,False,67,0.43,-1.05,1.07,1.29,2.28,4.11,,,3.02,21.69,,,3.59,3.64,8.63,,,0.48,,,-20.75,-4.18,,
IE000TG1LGI4,A40EWY,CSY5,135747034,UBS ETF (IE) MSCI World ESG Leaders UCITS ETF (USA) A-acc,2024-08-26,176,0.4821917808219178,Long-only,Ireland,USD,False,False,Accumulating,0.15,Full replication,552,True,690,2.55,-0.55,-0.29,3.55,,,,,,,,,,,,,,,,,-4.48,,,
IE00BKWQ0G16,A1191R,SPYZ,24767127,SPDR MSCI Europe Financials UCITS ETF,2014-12-05,3728,10.213698630136987,Long-only,Ireland,EUR,False,True,Accumulating,0.18,Full replication,551,False,83,13.42,2.64,8.27,16.24,23.55,41.17,63.75,76.09,25.96,21.96,-2.64,28.97,,,12.87,17.7,23.49,3.19,1.01,0.51,-45.35,-8.73,-19.66,-44.2
IE00BVZ6SP04,A14PHG,PJSR,27252975,PIMCO Euro Short Maturity UCITS ETF Acc,2015-04-30,3582,9.813698630136987,"Long-only, Active",Ireland,EUR,False,False,Accumulating,0.19,Sampling,550,True,313,0.56,0.08,0.38,0.98,1.91,4.19,7.13,5.73,4.32,4.01,-2.28,-0.58,,,0.23,0.48,0.49,18.19,4.83,2.3,-5.53,-0.05,-2.52,-3.78
IE000IP0UC52,ETF109,SADH,125531415,Amundi MSCI USA ESG Leaders UCITS ETF Acc EUR Hedged,2020-11-09,1562,4.279452054794521,Long-only,Ireland,EUR,True,False,Accumulating,0.17,Full replication,548,True,301,3.11,0.52,0.27,1.96,7.07,15.58,27.73,,17.67,23.63,-22.85,29.06,,,14.02,17.69,,1.11,0.48,,-29.0,-7.86,-25.16,
LU1781541096,LYX0YA,LCUK,40587057,Amundi UK Equity All Cap UCITS ETF Dist,2018-02-27,2548,6.980821917808219,Long-only,Luxembourg,GBP,False,True,Distributing,0.04,Full replication,543,False,241,6.55,0.21,4.72,8.85,8.85,21.5,27.49,35.24,15.04,9.62,-4.15,26.62,3.48,4.08,10.41,14.27,18.92,2.06,0.59,0.33,-40.6,-6.1,-16.91,-40.51
FR0010790980,A0X9QJ,AE50,10490111,Amundi ETF STOXX Europe 50 UCITS ETF EUR (C),2009-09-29,5621,15.4,Long-only,France,EUR,False,False,Accumulating,0.15,Swap based Unfunded,543,False,,9.8,1.17,5.75,11.07,6.65,13.83,37.44,53.67,8.22,15.29,-1.67,26.14,,,11.25,13.05,16.77,1.23,0.86,0.53,-32.37,-7.42,-11.22,-32.37
IE00B0M63623,A0HGWE,IQQT,2308884,iShares MSCI Taiwan UCITS ETF,2005-10-28,7053,19.323287671232876,Long-only,Ireland,USD,False,True,Distributing,0.74,Full replication,541,False,88,0.89,-0.04,0.08,3.03,8.96,27.72,24.76,107.28,31.75,24.13,-25.01,37.83,1.34,1.68,24.19,20.58,20.68,1.14,0.37,0.76,-55.6,-20.42,-30.88,-33.28
LU0659580079,DBX0KT,XMK9,14900037,Xtrackers MSCI Japan UCITS ETF 4C - EUR Hedged,2012-05-15,4662,12.772602739726027,Long-only,Luxembourg,EUR,True,True,Accumulating,0.4,Full replication,540,False,191,0.03,2.06,3.41,3.71,5.64,9.55,61.08,87.66,23.77,31.61,-5.4,12.35,,,24.61,19.66,19.54,0.39,0.88,0.69,-33.09,-25.46,-25.46,-26.86
IE00BF2FN646,A2N7D2,TRDX,44125315,Invesco US Treasury Bond 7-10 Year UCITS ETF Dist,2019-01-11,2230,6.109589041095891,Long-only,Ireland,USD,False,True,Distributing,0.06,Sampling,540,False,12,0.27,-1.47,-0.59,1.83,2.69,6.11,-0.16,-4.95,5.66,-0.01,-9.63,5.0,4.18,4.25,8.06,11.72,10.66,0.76,0.0,-0.09,-21.12,-3.63,-16.02,-21.12
LU0322250712,DBX1AN,DX2D,3614412,Xtrackers LPX MM Private Equity Swap UCITS ETF 1C,2008-01-17,6242,17.101369863013698,Long-only,Luxembourg,EUR,False,False,Accumulating,0.7,Swap based Unfunded,538,False,,6.02,-0.06,1.82,9.3,25.07,32.37,59.54,107.59,33.05,39.99,-30.03,63.26,,,16.89,22.1,26.05,1.91,0.76,0.6,-76.62,-11.29,-26.65,-47.93
LU0290358224,DBX0AM,XEIN,3220314,Xtrackers Eurozone Inflation-Linked Bond UCITS ETF 1C,2007-06-08,6465,17.71232876712329,Long-only,Luxembourg,EUR,False,True,Accumulating,0.15,Sampling,536,False,39,0.13,-0.8,0.02,-0.28,0.6,2.06,-1.52,2.56,-0.02,5.95,-9.79,6.05,,,4.44,7.69,6.98,0.46,-0.07,0.07,-15.89,-2.47,-15.89,-15.89
LU2456436083,DBX0SC,XCS7,118224738,Xtrackers MSCI China UCITS ETF 1D,2022-04-20,1035,2.835616438356164,Long-only,Luxembourg,USD,False,True,Distributing,0.28,Full replication,534,False,583,13.56,4.81,16.13,17.39,37.09,46.95,,,26.69,-14.58,,,1.81,2.59,24.02,,,1.95,,,-36.54,-15.2,,
IE00BQQP9G91,A12CCM,G2XJ,26419210,VanEck Junior Gold Miners UCITS,2015-03-25,3618,9.912328767123288,Long-only,Ireland,USD,False,False,Accumulating,0.55,Full replication,533,False,80,18.83,-3.23,9.24,17.66,19.61,66.65,33.07,38.17,22.23,4.16,-9.38,-14.91,,,28.81,30.55,35.84,2.31,0.33,0.19,-48.82,-18.38,-41.58,-47.94
IE00BM9GRN41,A2QKYN,FSMP,110002882,Fidelity Sustainable Global Corporate Bond Paris-Aligned Multifactor UCITS ETF ACC-GBP (hedged),2021-03-23,1428,3.9123287671232876,"Long-only, Active",Ireland,GBP,True,False,Accumulating,0.3,Full replication,533,True,287,0.86,0.34,2.8,1.91,3.52,8.89,0.68,,7.56,10.61,-19.67,,,,8.5,12.09,,1.04,0.02,,-22.62,-4.7,-20.14,
LU2641054551,DBX0T8,XG01,129265485,Xtrackers II Germany Government Bond 0-1 UCITS ETF 1C,2023-09-12,525,1.4383561643835616,Long-only,Luxembourg,EUR,False,True,Accumulating,0.07,Optimized sampling,533,False,8,0.29,0.03,0.27,0.65,1.55,3.53,,,3.6,,,,,,0.33,,,10.71,,,-0.09,-0.09,,
IE00BYYLVH00,A2DQ7Z,BCFU,36621183,UBS ETFs (IE) Bloomberg Commodity CMCI SF UCITS ETF (USD) A-acc,2017-05-25,2826,7.742465753424658,Long-only,Ireland,USD,False,False,Accumulating,0.34,Swap based,532,False,,5.97,-1.63,0.74,10.85,16.88,17.89,21.31,81.56,12.06,-9.83,25.49,40.9,,,11.61,15.48,16.04,1.54,0.43,0.79,-24.13,-11.95,-22.29,-22.29
IE00BZ048579,A2DS7Y,SNAV,37071039,iShares USD Corporate Bond 0-3yr ESG UCITS ETF USD (Dist),2018-12-12,2260,6.191780821917808,Long-only,Ireland,USD,False,False,Distributing,0.12,Sampling,531,True,1645,-0.21,-1.44,-1.44,2.35,7.35,8.67,19.84,15.72,12.05,1.81,3.63,8.28,4.58,4.75,6.53,8.46,7.84,1.32,0.73,0.38,-12.32,-2.8,-12.32,-12.32
LU1841731745,LYX0YW,L4K3,42408238,Amundi MSCI China UCITS ETF Acc,2018-07-05,2420,6.63013698630137,Long-only,Luxembourg,USD,False,False,Accumulating,0.29,Swap based Unfunded,531,False,,7.97,-0.38,10.4,11.62,30.46,40.02,-2.58,-7.77,27.14,-14.31,-16.99,-15.22,,,24.63,27.95,26.62,1.62,-0.03,-0.06,-55.9,-15.15,-36.86,-55.9
LU2089238625,A2PWMN,PRAC,51515472,Amundi EUR Corporate Bond UCITS ETF DR EUR (C),2020-01-15,1861,5.098630136986301,Long-only,Luxembourg,EUR,False,False,Accumulating,0.07,Sampling,531,False,3764,0.77,-0.1,1.08,1.13,2.99,6.33,0.98,-2.38,4.61,7.87,-14.19,-1.18,,,2.93,4.55,4.2,2.15,0.07,-0.11,-18.0,-1.78,-13.9,-18.0
DE0002635273,263527,EXSB,2119350,iShares DivDAX UCITS ETF (DE),2005-04-04,7260,19.89041095890411,Long-only,Germany,EUR,False,False,Distributing,0.31,Full replication,531,False,15,10.78,3.64,7.98,12.11,11.47,15.13,16.71,38.6,4.25,17.08,-11.17,13.68,3.16,3.52,13.59,17.18,21.81,1.11,0.31,0.31,-60.0,-10.82,-24.38,-41.0
LU0943504760,DBX0NU,XSMC,21743691,Xtrackers Swiss Large Cap UCITS ETF 1C,2013-07-09,4242,11.621917808219179,Long-only,Luxembourg,CHF,False,True,Accumulating,0.3,Full replication,529,False,20,10.28,1.71,9.06,7.95,7.0,16.28,22.61,37.32,3.44,11.67,-11.97,28.18,,,11.12,12.46,14.89,1.46,0.56,0.44,-25.5,-7.7,-16.24,-25.5
IE00B78JSG98,A1JVB8,UBU5,18163043,UBS ETF (IE) MSCI USA Value UCITS ETF (USD) A-dis,2012-04-11,4696,12.865753424657534,Long-only,Ireland,USD,False,True,Distributing,0.2,Full replication,529,False,462,4.2,-0.86,0.17,1.76,11.84,20.06,36.91,57.06,20.98,4.87,-1.04,37.01,2.04,2.4,12.62,15.55,20.72,1.58,0.71,0.46,-36.83,-7.49,-14.39,-36.83
LU1681042864,A2H57D,ACU2,38784995,Amundi PEA MSCI USA ESG Leaders UCITS ETF EUR (C),2008-12-04,5920,16.21917808219178,Long-only,Luxembourg,EUR,False,False,Accumulating,0.35,Full replication,528,True,,2.1,-0.66,-0.85,2.69,13.3,20.52,47.61,87.26,27.01,22.0,-14.56,36.19,,,14.43,17.45,21.54,1.42,0.79,0.62,-33.95,-8.96,-16.87,-33.95
LU1681044308,A2H572,X13Z,38785139,Amundi MSCI Europe ex Switzerland ESG Leaders UCITS ETF DR (C),2009-12-15,5544,15.189041095890412,Long-only,Luxembourg,EUR,False,False,Accumulating,0.15,Full replication,527,True,186,7.65,0.98,4.49,8.97,5.43,11.33,25.86,41.02,6.4,16.51,-8.64,24.64,,,11.55,14.4,18.33,0.98,0.55,0.39,-37.23,-8.47,-16.32,-37.23
IE00B41RYL63,A1JJTM,SYBA,12931570,SPDR Bloomberg Euro Aggregate Bond UCITS ETF,2011-05-23,5020,13.753424657534246,Long-only,Ireland,EUR,False,True,Distributing,0.17,Sampling,526,False,2533,-0.83,-0.51,-0.18,-0.67,0.46,3.14,-6.92,-11.18,2.43,7.03,-17.34,-3.02,0.92,0.94,4.03,6.19,5.33,0.78,-0.38,-0.44,-20.54,-2.9,-16.24,-20.54
IE00BDR55F85,A2H5B9,AWSRIS,38547049,UBS ETF (IE) MSCI ACWI Socially Responsible UCITS ETF (hedged to CHF) A-acc,2017-12-20,2617,7.16986301369863,Long-only,Ireland,CHF,True,False,Accumulating,0.28,Full replication,521,True,596,1.64,0.6,1.95,-0.77,9.12,15.36,34.75,69.02,16.14,27.95,-20.16,29.45,,,13.15,16.5,17.9,1.16,0.63,0.62,-31.96,-7.04,-19.98,-31.96
IE00BKWQ0J47,A1191T,SPYQ,24767393,SPDR MSCI Europe Industrials UCITS ETF,2014-12-05,3728,10.213698630136987,Long-only,Ireland,EUR,False,True,Accumulating,0.18,Full replication,520,False,87,12.06,4.45,7.93,12.32,17.28,23.96,50.76,76.44,15.03,27.24,-16.71,29.08,,,13.85,17.26,21.46,1.72,0.85,0.56,-41.27,-9.48,-21.09,-41.15
IE00B6YX5M31,A1JKSU,SYBJ,13975758,SPDR Bloomberg Euro High Yield Bond UCITS ETF,2012-02-03,4764,13.052054794520547,Long-only,Ireland,EUR,False,True,Distributing,0.4,Sampling,519,False,431,-1.11,0.72,-1.03,-0.27,2.01,4.91,8.26,8.73,6.56,11.82,-11.08,2.92,2.95,3.0,3.47,4.57,5.91,1.41,0.59,0.29,-21.26,-2.94,-12.96,-21.26
IE00058B19U6,ETF138,PABH,130392618,Amundi S&P 500 Climate Net Zero Ambition PAB UCITS ETF EUR Hedged Acc,2021-02-25,1454,3.9835616438356163,Long-only,Ireland,EUR,True,False,Accumulating,0.25,Full replication,517,False,279,4.14,1.18,2.31,4.67,9.87,21.7,,,23.82,,,,,,13.82,,,1.57,,,-7.45,-7.45,,
IE00BFZPF322,A2JK9X,AT1,41644584,Invesco AT1 Capital Bond UCITS ETF Acc,2018-06-19,2436,6.673972602739726,Long-only,Ireland,USD,False,True,Accumulating,0.39,Full replication,517,False,86,1.2,-1.32,-0.08,3.41,10.23,15.66,16.23,17.54,17.63,-1.4,-4.39,13.15,,,6.42,10.0,11.61,2.43,0.51,0.28,-28.63,-2.63,-22.68,-28.63
IE00BMW42074,A2QBZ2,ESIS,56748148,iShares MSCI Europe Consumer Staples Sector UCITS ETF EUR (Acc),2020-11-17,1554,4.257534246575342,Long-only,Ireland,EUR,False,False,Accumulating,0.18,Full replication,516,False,39,2.97,0.54,3.94,3.75,0.0,-0.18,-1.77,,-2.36,1.47,-9.2,20.32,,,10.03,12.03,,-0.02,-0.05,,-14.74,-9.55,-14.03,
IE00B4WXJH41,A0RL82,EUN8,10127472,iShares Euro Government Bond 10-15yr UCITS ETF,2009-04-17,5786,15.852054794520548,Long-only,Ireland,EUR,False,True,Distributing,0.15,Sampling,515,False,29,-0.06,-0.96,1.02,-0.11,0.71,3.83,-11.59,-17.17,1.6,10.89,-25.44,-4.23,3.08,3.1,7.1,10.66,9.2,0.54,-0.38,-0.4,-29.67,-5.47,-24.81,-29.67
IE00B4WPHX27,A1CXBU,ETL2,11167373,L&G Longer Dated All Commodities UCITS ETF,2010-03-18,5451,14.934246575342465,Long-only,Ireland,USD,False,False,Accumulating,0.3,Swap based Unfunded,514,False,,6.57,-1.35,0.91,11.6,17.5,19.3,22.42,88.77,12.58,-10.52,26.5,43.78,,,11.94,15.89,15.73,1.61,0.44,0.86,-48.28,-12.15,-22.77,-22.77
IE00BJK3WF00,A2PK49,BBLL,48376041,JPMorgan BetaBuilders US Treasury Bond 0-1 yr UCITS ETF USD (Acc),2019-07-09,2051,5.619178082191781,Long-only,Ireland,USD,False,True,Accumulating,0.07,Sampling,514,False,80,-0.33,-1.44,-1.41,2.11,7.39,7.97,21.77,16.55,11.89,1.3,7.29,8.31,,,6.57,8.17,7.62,1.21,0.83,0.41,-13.21,-3.34,-12.25,-13.21
LU0979892907,A1W6NY,SW2CHA,22534681,UBS ETF (LU) MSCI Switzerland 20/35 UCITS ETF (CHF) A-dis,2013-11-28,4100,11.232876712328768,Long-only,Luxembourg,CHF,False,True,Distributing,0.2,Full replication,512,False,45,10.24,1.78,8.76,7.96,7.04,15.99,21.52,36.64,3.36,11.84,-12.78,28.65,1.58,1.79,10.58,12.45,14.68,1.51,0.54,0.44,-26.13,-7.24,-16.16,-26.13
LU2069380306,A2PU65,OG35,54842959,Ossiam Euro Government Bonds 3-5Y Carbon Reduction UCITS ETF,2020-05-13,1742,4.772602739726027,Long-only,Luxembourg,EUR,False,False,Accumulating,0.17,Full replication,510,True,48,0.27,-0.25,0.63,0.64,1.78,3.9,-1.12,,2.29,5.13,-9.92,-1.4,,,2.46,4.07,,1.58,-0.09,,-12.24,-1.6,-10.31,
LU0292097747,DBX1FA,XASX,3067281,Xtrackers MSCI UK ESG UCITS ETF 1D,2007-06-15,6458,17.693150684931506,Long-only,Luxembourg,GBP,False,False,Distributing,0.18,Full replication,510,True,122,6.48,0.57,5.62,8.9,10.27,23.61,29.61,29.14,16.88,11.04,-8.94,21.65,3.98,4.7,11.24,14.09,18.66,2.09,0.64,0.28,-59.42,-6.06,-17.94,-40.89
LU1169821292,A14ME3,UFMB,26749941,UBS ETF (LU) MSCI United Kingdom UCITS ETF (hedged to EUR) A-acc,2020-06-24,1700,4.657534246575342,Long-only,Luxembourg,EUR,True,True,Accumulating,0.23,Full replication,510,False,78,7.52,0.28,3.26,8.78,5.23,15.59,24.96,,7.71,5.3,5.52,18.4,,,9.73,16.81,,1.6,0.46,,-13.87,-4.72,-13.87,
IE00BJ5JNZ06,A2PHCD,CBUF,47473815,iShares MSCI World Health Care Sector ESG UCITS ETF USD (Dist),2019-10-17,1951,5.345205479452055,Long-only,Ireland,USD,False,True,Distributing,0.18,Full replication,508,True,134,2.73,-2.87,0.74,0.86,-5.45,-2.34,17.03,34.81,0.82,0.27,2.41,29.75,0.99,0.96,12.31,13.88,16.6,-0.19,0.39,0.37,-26.78,-10.27,-13.39,-26.78
LU1248511575,LYX0UV,B8TL,28577220,Lyxor Smart Overnight Return UCITS ETF C-USD,2015-06-30,3521,9.646575342465754,"Long-only, Active",Luxembourg,USD,False,False,Accumulating,0.1,Swap based Unfunded,508,False,,-0.25,-1.42,-1.35,2.24,7.68,8.44,23.68,18.71,12.38,1.6,8.2,8.64,,,6.5,8.14,8.0,1.3,0.9,0.44,-15.77,-3.32,-11.87,-12.99
LU2668197069,ETF089,CJ1P,129371416,Amundi MSCI Japan ESG Climate Net Zero Ambition CTB UCITS ETF GBP Dist,2023-09-19,518,1.4191780821917808,Long-only,Luxembourg,GBP,False,False,Distributing,0.08,Full replication,508,True,177,2.88,0.3,4.34,6.34,6.85,8.75,,,13.22,,,,1.65,1.77,21.98,,,0.4,,,-16.23,-16.23,,
IE000J80JTL1,A3DGK5,GRID,116762164,First Trust Nasdaq Clean Edge Smart Grid Infrastructure UCITS ETF Acc,2022-04-21,1034,2.8328767123287673,Long-only,Ireland,USD,False,False,Accumulating,0.63,Full replication,505,False,100,2.38,-0.1,-1.25,1.66,10.21,21.24,,,22.65,16.87,,,,,16.71,,,1.27,,,-16.36,-11.14,,
IE000OHHIBC6,A3EP8F,IWDD,128123899,iShares Core MSCI World UCITS ETF USD (Dist),2023-07-26,573,1.5698630136986302,Long-only,Ireland,USD,False,True,Distributing,0.2,Optimized sampling,501,False,1396,4.36,0.82,3.65,4.71,17.25,23.92,,,26.44,,,,1.28,1.57,12.59,,,1.89,,,-8.65,-8.65,,
IE00BZ163L38,A143JQ,VGEM,30359019,Vanguard USD Emerging Markets Government Bond UCITS ETF Distributing,2016-12-06,2996,8.208219178082192,Long-only,Ireland,USD,False,False,Distributing,0.25,Sampling,500,False,1153,1.15,-0.87,0.1,3.16,8.23,13.01,14.19,6.43,13.06,5.85,-9.9,6.5,5.74,6.11,6.63,8.63,8.93,1.96,0.52,0.14,-17.11,-1.79,-8.44,-17.11
IE00BMW42520,A2QBZ6,ESIN,56747527,iShares MSCI Europe Industrials Sector UCITS ETF EUR (Acc),2021-05-14,1376,3.76986301369863,Long-only,Ireland,EUR,False,False,Accumulating,0.18,Full replication,499,False,87,12.18,4.54,8.0,12.5,17.39,24.09,51.16,,14.99,27.25,-16.9,,,,14.03,17.4,,1.71,0.85,,-29.16,-9.57,-21.03,
IE00BNG8L278,A2QL8U,V3AA,59333980,Vanguard ESG Global All Cap UCITS ETF (USD) Accumulating,2021-03-23,1428,3.9123287671232876,Long-only,Ireland,USD,False,True,Accumulating,0.24,Optimized sampling,499,True,5826,4.35,0.15,2.21,6.93,14.89,22.96,40.26,,24.95,20.34,-17.73,,,,12.7,15.03,,1.8,0.79,,-19.33,-9.47,-15.5,
IE00B7452L46,A1JT1A,SPYF,14969108,SPDR FTSE UK All Share UCITS ETF,2012-02-28,4739,12.983561643835616,Long-only,Ireland,GBP,False,True,Accumulating,0.2,Optimized sampling,498,False,531,6.9,0.78,5.18,9.15,8.74,20.96,26.32,35.47,14.35,9.84,-5.07,26.3,,,10.1,13.17,18.38,2.07,0.61,0.34,-40.85,-6.17,-17.06,-40.83
